127.0.0.1, 2013-08-03 20:57:53, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000452
127.0.0.1, 2013-08-03 20:57:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000339
127.0.0.1, 2013-08-03 20:57:55, POST, /admin/default/index, HTTP/1.1, 303, 0.132767
127.0.0.1, 2013-08-03 20:57:55, GET, /admin/default/site, HTTP/1.1, 200, 0.077533
127.0.0.1, 2013-08-03 20:57:55, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.001464
127.0.0.1, 2013-08-03 20:57:55, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.000813
127.0.0.1, 2013-08-03 20:57:55, GET, /admin/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000610
127.0.0.1, 2013-08-03 20:57:56, POST, /admin/default/check_version, HTTP/1.1, 200, 0.444739
127.0.0.1, 2013-08-03 20:57:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000456
127.0.0.1, 2013-08-03 20:58:22, GET, /examples/default/index, HTTP/1.1, 200, 0.121345
127.0.0.1, 2013-08-03 20:58:22, GET, /examples/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000694
127.0.0.1, 2013-08-03 20:58:22, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.000708
127.0.0.1, 2013-08-03 20:58:22, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.000538
127.0.0.1, 2013-08-03 20:58:22, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.001430
127.0.0.1, 2013-08-03 20:58:22, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.000937
127.0.0.1, 2013-08-03 20:58:22, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.000537
127.0.0.1, 2013-08-03 20:58:22, GET, /examples/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000845
127.0.0.1, 2013-08-03 20:58:22, GET, /examples/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000680
127.0.0.1, 2013-08-03 20:58:22, GET, /examples/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.002390
127.0.0.1, 2013-08-03 20:58:22, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000732
127.0.0.1, 2013-08-03 20:58:22, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.001970
127.0.0.1, 2013-08-03 20:58:22, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001341
127.0.0.1, 2013-08-03 20:58:22, GET, /examples/static/js/share.js, HTTP/1.1, 200, 0.000677
127.0.0.1, 2013-08-03 20:58:22, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.002879
127.0.0.1, 2013-08-03 20:58:22, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.001078
127.0.0.1, 2013-08-03 20:58:22, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 200, 0.001690
127.0.0.1, 2013-08-03 20:58:22, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.004174
127.0.0.1, 2013-08-03 20:58:22, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.001549
127.0.0.1, 2013-08-03 20:58:22, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.002551
127.0.0.1, 2013-08-03 20:58:22, GET, /examples/static/images/questions.png, HTTP/1.1, 200, 0.000436
